name,release_date,price,genres,tags,review_count,review_score_text,review_score,platforms,developers,publishers,category_price,release_year
Salt and Sacrifice,2023-11-06,165999.0,"['Action', 'RPG']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Co-op', 'Online Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Remote Play Together', 'Family Sharing', 'Action', 'RPG']",1325,Mostly Positive,5,"['windows', 'mac', 'linux']","['Devoured Studios', 'Ska Studios']",['Ska Studios'],Paid,2023
Dread X Collection 3,2020-10-23,69999.0,['Action'],"['Single-player', 'Steam Achievements', 'Family Sharing', 'Action']",309,Very Positive,7,"['windows', 'mac', 'linux']","['DreadXP', 'Torple Dook', 'Adam Pype & Viktor Kraus', 'KIRA', 'corpsepile', 'Breogan Hackett', 'Redact Games', 'Modus Interactive', 'Basalt Tower', 'Blood Machine', 'Bryce Bucher', 'DIRIGO GAMES', 'Moya Horror', 'Wayward Preacher', 'Amon26']",['DreadXP'],Paid,2020
Peripeteia,2025-02-21,179999.0,"['Action', 'Indie', 'RPG', 'Simulation', 'Early Access']","['Single-player', 'Family Sharing', 'Action', 'Indie', 'RPG', 'Simulation', 'Early Access']",818,Very Positive,7,"['windows', 'mac', 'linux']",['Ninth Exodus'],['Ninth Exodus'],Paid,2025
三国群英传,2020-11-12,12000.0,"['Action', 'RPG', 'Simulation', 'Strategy']","['Single-player', 'Family Sharing', 'Action', 'RPG', 'Simulation', 'Strategy']",595,Mostly Positive,5,"['windows', 'mac', 'linux']","['USERJOY Technology Co.,Ltd.']","['USERJOY Technology Co.,Ltd.']",Paid,2020
三国群英传2,2020-11-12,12000.0,"['Action', 'RPG', 'Simulation', 'Strategy']","['Single-player', 'Family Sharing', 'Action', 'RPG', 'Simulation', 'Strategy']",1633,Positive,6,"['windows', 'mac', 'linux']","['USERJOY Technology Co.,Ltd.']","['USERJOY Technology Co.,Ltd.']",Paid,2020
三国群英传7,2020-11-12,58000.0,"['RPG', 'Simulation', 'Strategy']","['Single-player', 'Family Sharing', 'RPG', 'Simulation', 'Strategy']",2668,Mixed,4,"['windows', 'mac', 'linux']","['USERJOY Technology Co.,Ltd.']","['USERJOY Technology Co.,Ltd.']",Paid,2020
Saviorless,2024-04-02,180999.0,"['Action', 'Adventure', 'Indie']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Family Sharing', 'Action', 'Adventure', 'Indie']",173,Very Positive,7,"['windows', 'mac', 'linux']",['Empty Head Games'],['Dear Villagers'],Paid,2024
Reactor Tech²,2021-08-31,95999.0,"['Indie', 'Simulation', 'Strategy']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Family Sharing', 'Indie', 'Simulation', 'Strategy']",343,Mostly Positive,5,"['windows', 'mac', 'linux']",['4Co'],"['4Co', 'KuKusFs Production']",Paid,2021
Colorful Colore,2020-10-24,24999.0,"['Casual', 'Indie', 'Strategy']","['Single-player', 'Full controller support', 'Family Sharing', 'Casual', 'Indie', 'Strategy']",122,Very Positive,7,"['windows', 'mac', 'linux']","['Gagonfe', 'Delta', 'Rhowsl']",['Gagonfe'],Paid,2020
Teacup,2021-09-23,69999.0,"['Adventure', 'Casual', 'Indie']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Family Sharing', 'Adventure', 'Casual', 'Indie']",554,Very Positive,7,"['windows', 'mac', 'linux']",['Smarto Club'],['Whitethorn Games'],Paid,2021
House,2020-10-30,69999.0,"['Action', 'Adventure', 'Indie']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Family Sharing', 'Action', 'Adventure', 'Indie']",1747,Overwhelmingly Positive,8,"['windows', 'mac', 'linux']",['Bark Bark Games'],['Bark Bark Games'],Paid,2020
Turing Complete,2021-10-02,108999.0,"['Simulation', 'Early Access']","['Single-player', 'Steam Achievements', 'Steam Cloud', 'Family Sharing', 'Simulation', 'Early Access']",3692,Overwhelmingly Positive,8,"['windows', 'mac', 'linux']",['LevelHead'],['LevelHead'],Paid,2021
Haydee 2,2020-11-23,119999.0,"['Action', 'Adventure', 'Indie']","['Single-player', 'Steam Achievements', 'Steam Workshop', 'Partial Controller Support', 'Steam Cloud', 'Includes level editor', 'Family Sharing', 'Action', 'Adventure', 'Indie']",1454,Very Positive,7,"['windows', 'mac', 'linux']",['Haydee Interactive'],['Haydee Interactive'],Paid,2020
Doctor Who: The Edge of Reality,2021-10-13,119999.0,"['Adventure', 'Indie']","['Single-player', 'Steam Achievements', 'Full controller support', 'Family Sharing', 'Adventure', 'Indie']",258,Mixed,4,"['windows', 'mac', 'linux']","['Maze Theory Ltd', 'Just Add Water (Developments), Ltd.']","['Maze Theory Ltd', 'Another Indie', 'Neon Doctrine']",Paid,2021
Bassmaster® Fishing,2021-10-28,119999.0,"['Simulation', 'Sports']","['Single-player', 'Multi-player', 'Cross-Platform Multiplayer', 'Full controller support', 'Family Sharing', 'Simulation', 'Sports']",236,Mostly Positive,5,"['windows', 'mac', 'linux']",['Dovetail Games'],['Dovetail Games - Fishing'],Paid,2021
Henchman Story,2021-10-14,130999.0,"['Adventure', 'Indie']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Family Sharing', 'Adventure', 'Indie']",245,Very Positive,7,"['windows', 'mac', 'linux']",['Silken Sail Entertainment'],['Silken Sail Entertainment'],Paid,2021
Metro Exodus Enhanced Edition,2020-02-14,321000.0,['Action'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing', 'Action']",103216,Very Positive,7,"['windows', 'mac', 'linux']",['4A Games'],['Deep Silver'],Paid,2020
Crash Dive 2,2021-04-01,82999.0,"['Action', 'Indie', 'Simulation']","['Single-player', 'Steam Cloud', 'Family Sharing', 'Action', 'Indie', 'Simulation']",196,Very Positive,7,"['windows', 'mac', 'linux']",['Panic Ensues Software'],['Panic Ensues Software'],Paid,2021
The Walking Dead: The Telltale Definitive Series,2020-10-29,375999.0,['Adventure'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Family Sharing', 'Adventure']",19272,Overwhelmingly Positive,8,"['windows', 'mac', 'linux']",['Skybound Games'],['Skybound Games'],Paid,2020
Cyberwar,2024-09-24,99999.0,"['Action', 'Adventure', 'Indie', 'Early Access']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Family Sharing', 'Action', 'Adventure', 'Indie', 'Early Access']",150,Mixed,4,"['windows', 'mac', 'linux']",['Cyber Monkey Studios'],['GoGo Games Interactive'],Paid,2024
LUNA,2020-11-20,9699.0,"['Adventure', 'Casual', 'Indie', 'RPG']","['Single-player', 'Steam Achievements', 'Steam Cloud', 'Family Sharing', 'Adventure', 'Casual', 'Indie', 'RPG']",268,Very Positive,7,"['windows', 'mac', 'linux']",['Simple'],['PsychoFlux Entertainment'],Paid,2020
Haunt Chaser,2021-10-06,95999.0,"['Action', 'Adventure', 'Indie']","['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Family Sharing', 'Action', 'Adventure', 'Indie']",564,Mixed,4,"['windows', 'mac', 'linux']",['Clock Wizard Games'],['Clock Wizard Games'],Paid,2021
