developer,count
Deceptive Games Ltd.,2
∇,2
J. King-Spooner,2
Terminal Reality,2
Nupu Neko Dev,2
Giulia Airoldi,2
Vertigo Games,2
Minos Games,2
IO Interactive,2
givanni pellegio,2
Shiny Shoe,2
"MicroProse Software, Inc",2
The Creative Assembly,2
snekflat,2
Nerdook Productions,2
Dry Cactus,2
Monolith,2
Monte Cristo,2
FireFly Studios,2
Deep Silver Volition,2
KARMAGAME HK LIMITED,2
ZOOM Platform Media,2
GATO STUDIO,2
Stainless Games Ltd,2
Deadline Games,2
tinyBuild,2
くそいサイト,2
Ice-Pick Lodge,2
Games Incubator,2
ILLUSION,2
"Monster Games, Inc.",2
Sakari Games,2
Tripwire Interactive,2
Simuverse Interactive,2
Four Quarters,2
Climax Studios,2
Erik Svedäng,2
MachineGames,2
香港商河洛互動娛樂股份有限公司,2
LostVolBytes,2
Robot Gentleman,2
Longbow Games,2
Noio,2
Spicy Tails,2
Pixellore Inc,2
Io-Interactive A/S,2
No Goblin,2
Rainbow Studios,2
Nixxes,2
Toxic Games,2
Finji,2
Strategy Labs,2
Double Helix Games,2
Pyrodactyl,2
InterAction studios,2
Snowrunner Games,2
Calappa Games,2
Storm in a Teacup,2
Maxis™,2
Heluo Studio,2
Marcelo Barbosa,2
Subsoap,2
Microids,2
Thomas Bowker,2
"CAVE Interactive CO.,LTD.",2
Grace Bruxner,2
Razzart Visual,2
Leonard Menchiari,2
Rocket Rat Games,2
Nate Sanders,1
Footprints Games,1
SIGONO INC.,1
Atomic Fabrik,1
Silky’s Plus Alpha,1
Twin Sails Interactive,1
[untitledDev],1
Malevolent Wormhole,1
Yoann Laulan,1
Catfishbox,1
John Kolbek,1
Nyamyam,1
疯王子,1
Just Add Water (Development) Ltd.,1
Guanpeng Chen,1
Reward Hunters,1
Sean O'Connor,1
BiscuitPlay,1
Rock Frog,1
"Voidpoint, LLC",1
Monkeys Lab.,1
Blue Tongue Entertainment,1
Blitworks,1
Bit Dragon,1
Cristian Manolachi,1
LOVIGAME,1
NetEase Games,1
Cube,1
Feral interactive (Linux),1
GameDevLab,1
Water Phoenix,1
Grundislav Games,1
BulatHard,1
WWO Partners Ltd,1
Howling Moon Software,1
Gravity Sketch Limited,1
IBOL,1
Orbital Views,1
RedCandleGames,1
AMG GAMES,1
Catland,1
Team Fusion Simulations,1
Pixel Federation,1
Wild Factor,1
Redwood,1
Eternal Night Studios,1
Playsoft,1
银月网络,1
Vincent Ltd,1
Silver Moon Internet,1
Lapioware,1
SHADE Inc.,1
Aggroblakh,1
Gaugepunk Games,1
Crynosaurs,1
Elf Games,1
GexagonVR,1
Mateusz Skutnik,1
Vankrupt Games,1
Evil Objective,1
Mooneye Studios,1
Trinity Team,1
Breaking Walls,1
Anguis Game Studio,1
Killer Bee Software,1
Mathieu Leyssenne,1
Squidpunch Studios,1
code:jp,1
Trebuchet Entertainment LLC,1
Protection Games,1
Benjamin Soulé,1
Cairn4,1
Drifter®,1
Fazan,1
ULTRA ULTRA,1
Snowcastle Games,1
OfficialAndy,1
Fireblade Software,1
AjiGohanGames,1
KeroQ,1
Grip Digital,1
Intostudio,1
STORIA,1
Narrator,1
Cherrymochi,1
Picklefeet Games,1
Progorion,1
ADhD Studios,1
MDickie,1
REX PEX GAMES,1
Deimos Games,1
Jarrod Brown,1
Blood Eater Games,1
RageSquid,1
RCG,1
MyST,1
Lienzo,1
[DRAMATIC MUSIC PLAYS],1
U7 committee,1
Innervoid Interactive,1
Tea & Cake Games,1
Event Horizon,1
Levall Games AB,1
Volker Elzner,1
LTG,1
Rice Cooker Republic,1
Machine Games,1
Empyrean,1
Konfa Games,1
GuraShop,1
Pathos Interactive,1
NEKCOM Entertainment,1
Attu Games,1
Aleksandar Kuzmanovic Games Inc.,1
Horus Games,1
Interplay,1
Fair Games Studio,1
4Bit Games,1
Lost Goblin,1
Outerdawn,1
Corpix Games,1
BlackMuffin,1
Redemption Ark,1
株式会社トムクリエイト,1
Iguana Entertainment,1
"Rockwell Studios, LLC",1
.ez Games,1
Victorian Clambake,1
Ferullo Gaming,1
Skeleboom Project,1
Game River,1
Slikey Games,1
Digital Lode Immersive Media,1
Probe Entertainment,1
Monkey Moon,1
IOA Games,1
Huw Millward,1
encurio,1
Scolaro Games,1
Mojiken,1
Tero Lunkka,1
Mikko Seppälä,1
Rolling Glory Jam,1
Evgeny Osmet,1
Ivory Tower,1
Mega Crit,1
Big Way Games,1
Gameclaw Studio,1
SoulGame Studio,1
Numantian Games,1
metricminds GmbH & Co KG,1
Uprising Studios,1
Red Dot Games,1
Real Welders,1
Fantasia Studio,1
Spiritus Games,1
Wishlist Games,1
Insane Dreamers,1
Colorfiction,1
Darkcross Games,1
SEEP,1
Big Kitty Games,1
B52 Development Team,1
Pavel Kostin,1
Atorcoppe Games,1
Coletivo Vaca Roxa,1
Vee,1
MMEU,1
Tungsten Games,1
Bugbyte Ltd.,1
tensixfour Creative,1
Kyuppin,1
Atlant Games ltd,1
ebi-hime,1
Tolga Ay,1
Gambir Studio,1
Favorite,1
PKO Game Studio,1
Systemic Games,1
Washbear Studio,1
Dreamside Interactive,1
Reflexive Entertainment,1
Denys Rudyi,1
"Imperium42®, LLC",1
BisquitPlay,1
Boxhead Bros.,1
KomBits Game Studio,1
Goblinz Studio,1
Stairfall Institute,1
Dev9k,1
Clouds,1
TOM CREATE,1
Team HalfBeard,1
Rikodu,1
RandomSpin,1
Interactive Gaming Studios,1
Diceroll Studios,1
Xitilon,1
Anarkis Gaming,1
Mirage Game Studios,1
Reconnect Software,1
Casioqu,1
"Mane6, Inc.",1
Touwaku Studio,1
Storybird Games,1
Vile Monarch,1
黄昏フロンティア,1
Adamvision Studios,1
Lose,1
Mudpike,1
Gamily Studios,1
BattleGames,1
Wily Pumpkin,1
Odd Meter,1
Chucklefish,1
Yosemite Entertainment,1
Cat Nigiri,1
Tree Men Games,1
Nyamakop,1
Long Hat House,1
Asteristic Game Studio,1
DryGin Studios,1
LASTONE,1
CookieByte Entertainment,1
Pastel Studios,1
Expresso Studios,1
Calangames,1
Spookids Team,1
Kerry Fawdray,1
Tuttifrutti Interactive,1
Jason Lovett,1
Nitrous Butterfly,1
3RD BOOK,1
Jason Rohrer,1
Cuddle Monster Games,1
Formslingers,1
